Cycle start time,Cycle end time,Cycle timezone,Recovery score %,Resting heart rate (bpm),Heart rate variability (ms),Skin temp (celsius),Blood oxygen %,Day Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %
2024-04-11 00:20:44,2024-04-12 03:46:35,UTC-07:00,68,62,76,33.80,94.29,8.0,2016,124,74,2024-04-11 00:20:44,2024-04-11 10:29:44,100,12.9,559,607,269,97,193,48,501,30,92,72
2024-04-10 00:45:45,2024-04-11 00:20:44,UTC-07:00,56,61,71,33.10,96.06,10.3,1924,145,79,2024-04-10 00:45:45,2024-04-10 08:09:53,87,12.4,415,444,211,93,111,29,476,0,94,67
2024-04-08 23:48:19,2024-04-10 00:45:45,UTC-07:00,52,66,71,33.30,96.09,11.7,2120,138,80,2024-04-08 23:48:19,2024-04-09 10:03:34,100,13.5,548,615,375,71,102,67,517,42,89,60
2024-04-08 01:08:03,2024-04-08 23:48:19,UTC-07:00,92,58,97,32.50,95.65,11.4,1908,127,78,2024-04-08 01:08:03,2024-04-08 08:07:40,82,13.5,376,419,171,97,108,43,461,0,89,56
2024-04-06 21:57:40,2024-04-08 01:08:03,UTC-07:00,77,59,81,33.40,94.42,4.8,1894,113,66,2024-04-06 21:57:40,2024-04-07 11:18:56,100,12.7,745,799,373,134,238,54,608,127,93,40
2024-04-06 01:18:34,2024-04-06 21:57:40,UTC-07:00,4,68,61,34.40,91.86,12.5,1934,160,81,2024-04-06 01:18:34,2024-04-06 05:29:28,42,14.2,205,246,147,34,24,41,489,10,83,87
2024-04-05 00:54:25,2024-04-06 01:18:34,UTC-07:00,46,61,68,33.60,95.23,12.3,2107,145,79,2024-04-05 00:54:25,2024-04-05 10:23:31,97,13.2,492,569,145,147,200,77,508,33,87,83
2024-04-04 01:50:01,2024-04-05 00:54:25,UTC-07:00,56,63,77,33.23,96.11,11.4,1941,136,80,2024-04-04 01:50:01,2024-04-04 09:56:56,86,13.5,416,486,206,96,114,70,482,0,85,81
2024-04-03 01:04:19,2024-04-04 01:50:01,UTC-07:00,96,56,95,33.30,97.04,12.9,2307,161,77,2024-04-03 01:04:19,2024-04-03 10:48:20,100,12.5,516,580,264,121,131,64,471,0,88,79
2024-04-01 23:28:21,2024-04-03 01:04:19,UTC-07:00,74,56,81,33.10,95.40,10.3,2065,137,74,2024-04-01 23:28:21,2024-04-02 09:39:45,100,12.8,551,610,225,125,201,59,480,0,90,71
2024-04-01 01:55:19,2024-04-01 23:28:21,UTC-07:00,50,59,73,33.60,96.10,12.4,2000,141,79,2024-04-01 01:55:19,2024-04-01 10:45:00,100,12.5,495,529,174,133,188,34,494,16,94,87
2024-03-31 02:24:35,2024-04-01 01:55:19,UTC-07:00,47,61,73,33.50,95.96,11.8,2120,147,77,2024-03-31 02:24:35,2024-03-31 10:34:44,94,12.9,444,487,214,94,136,43,470,0,92,74
2024-03-30 00:50:43,2024-03-31 02:24:35,UTC-07:00,52,55,75,33.00,94.83,10.1,2124,158,72,2024-03-30 00:50:43,2024-03-30 11:16:04,100,13.1,579,625,337,113,129,46,462,0,92,79
2024-03-29 00:58:31,2024-03-30 00:50:43,UTC-07:00,60,54,80,33.32,94.61,6.2,1691,115,71,2024-03-29 00:58:31,2024-03-29 10:44:56,100,12.3,529,586,226,128,175,57,482,11,90,75
2024-03-28 01:57:12,2024-03-29 00:58:31,UTC-07:00,80,55,90,33.60,95.87,10.2,1847,135,75,2024-03-28 01:57:12,2024-03-28 10:15:38,96,12.0,459,492,129,127,203,33,478,13,93,73
2024-03-26 23:54:36,2024-03-28 01:57:12,UTC-07:00,87,55,92,33.20,96.23,7.1,1889,133,72,2024-03-26 23:54:36,2024-03-27 08:47:39,96,12.4,481,533,180,127,174,52,502,42,90,67
2024-03-26 01:23:02,2024-03-26 23:54:36,UTC-07:00,94,56,94,33.40,97.30,2.5,994,110,67,2024-03-26 01:23:02,2024-03-26 09:58:18,88,12.7,481,515,190,125,166,34,548,84,94,78
2024-03-25 02:00:50,2024-03-26 01:23:02,UTC-07:00,91,55,97,33.00,95.28,7.1,1737,134,76,2024-03-25 02:00:50,2024-03-25 08:09:59,66,12.4,334,369,161,75,98,35,502,38,90,79
2024-03-24 02:32:29,2024-03-25 02:00:50,UTC-07:00,83,58,83,33.10,96.67,7.1,1749,147,72,2024-03-24 02:32:29,2024-03-24 11:02:28,89,12.8,464,509,192,101,171,45,524,44,92,74
2024-03-23 01:14:56,2024-03-24 02:32:29,UTC-07:00,55,65,69,33.70,95.87,12.5,2240,136,80,2024-03-23 01:14:56,2024-03-23 09:58:51,87,12.7,476,523,289,112,75,47,545,50,92,84
2024-03-22 01:42:36,2024-03-23 01:14:56,UTC-07:00,41,65,64,32.90,94.04,14.9,2626,135,87,2024-03-22 01:42:36,2024-03-22 09:36:24,81,12.4,431,473,196,117,118,42,532,54,91,79
2024-03-21 01:40:59,2024-03-22 01:42:36,UTC-07:00,42,66,66,32.31,96.94,12.2,2087,137,82,2024-03-21 01:40:59,2024-03-21 10:12:24,81,12.4,456,511,168,125,163,55,564,51,90,71
2024-03-20 01:53:55,2024-03-21 01:40:59,UTC-07:00,61,58,82,33.80,94.50,17.5,2789,179,86,2024-03-20 01:53:55,2024-03-20 08:29:30,78,12.4,363,395,155,117,91,32,466,0,93,68
2024-03-18 23:46:43,2024-03-20 01:53:55,UTC-07:00,48,65,72,32.93,97.09,8.5,1930,131,77,2024-03-18 23:46:43,2024-03-19 11:06:00,100,13.1,610,663,337,116,157,53,514,28,93,64
2024-03-18 00:37:17,2024-03-18 23:46:43,UTC-07:00,42,63,70,32.50,94.45,13.5,2282,138,82,2024-03-18 00:37:17,2024-03-18 08:05:07,88,13.9,407,447,214,86,107,40,464,0,91,70
2024-03-17 01:36:20,2024-03-18 00:37:17,UTC-07:00,57,60,82,33.40,96.21,7.4,1759,140,74,2024-03-17 01:36:20,2024-03-17 10:58:13,100,12.9,516,561,236,111,169,45,511,43,92,76
2024-03-16 01:27:09,2024-03-17 01:36:20,UTC-07:00,79,60,92,33.00,93.13,9.2,1861,136,79,2024-03-16 01:27:09,2024-03-16 09:43:12,87,13.4,441,496,213,85,143,55,509,47,89,63
2024-03-15 03:58:02,2024-03-16 01:27:09,UTC-07:00,93,52,105,33.40,96.36,4.9,1505,134,68,2024-03-15 03:58:02,2024-03-15 11:26:30,82,11.3,422,448,300,52,70,26,516,36,94,48
2024-03-14 02:05:57,2024-03-15 03:58:02,UTC-07:00,89,57,93,33.40,97.29,12.5,2295,138,79,2024-03-14 02:05:57,2024-03-14 09:54:07,86,12.0,450,468,147,129,174,18,523,55,96,66
2024-03-13 01:39:30,2024-03-14 02:05:57,UTC-07:00,76,60,88,33.51,95.75,9.4,1942,146,78,2024-03-13 01:39:30,2024-03-13 08:03:04,77,12.1,359,379,170,74,115,20,470,0,94,66
2024-03-12 00:12:30,2024-03-13 01:39:30,UTC-07:00,76,59,86,32.90,94.68,9.8,2030,141,76,2024-03-12 00:12:30,2024-03-12 09:29:35,100,12.5,526,557,213,133,180,31,506,31,94,61
2024-03-11 00:17:45,2024-03-12 00:12:30,UTC-07:00,76,60,88,33.50,96.44,11.4,2001,134,77,2024-03-11 00:17:45,2024-03-11 08:09:45,90,12.8,424,471,214,77,133,47,473,11,90,44
2024-03-10 01:11:38,2024-03-10 23:17:45,UTC-08:00,90,57,92,33.50,94.04,4.9,1547,170,72,2024-03-10 01:11:38,2024-03-10 12:47:50,97,12.6,524,696,190,142,192,151,542,52,75,49
2024-03-09 00:45:58,2024-03-10 01:11:38,UTC-08:00,57,62,80,33.60,95.91,14.3,2580,150,79,2024-03-09 00:45:58,2024-03-09 08:02:53,79,13.3,399,436,198,76,125,37,504,39,91,66
2024-03-07 23:54:10,2024-03-09 00:45:58,UTC-08:00,73,57,83,32.50,94.47,7.5,1868,141,72,2024-03-07 23:54:10,2024-03-08 07:59:38,88,12.3,441,485,193,87,161,44,502,37,90,56
2024-03-07 01:30:32,2024-03-07 23:54:10,UTC-08:00,70,62,84,32.90,94.41,7.6,1651,131,77,2024-03-07 01:30:32,2024-03-07 10:45:14,90,12.8,516,550,206,101,209,34,575,113,94,66
2024-03-06 03:12:47,2024-03-07 01:30:32,UTC-08:00,72,57,95,32.10,96.00,5.0,1561,118,73,2024-03-06 03:12:47,2024-03-06 08:25:42,55,12.0,280,312,110,77,93,32,507,44,90,61
2024-03-05 02:38:38,2024-03-06 03:12:47,UTC-08:00,69,57,77,33.04,96.04,6.7,1769,125,76,2024-03-05 02:38:38,2024-03-05 10:57:05,87,12.3,468,495,155,100,213,27,536,74,95,74
2024-03-04 02:24:05,2024-03-05 02:38:38,UTC-08:00,68,62,78,32.60,97.22,5.9,1728,120,75,2024-03-04 02:24:05,2024-03-04 08:09:40,68,12.8,317,345,134,85,98,28,465,0,92,53
2024-03-03 03:30:07,2024-03-04 02:24:05,UTC-08:00,,,,,,7.9,1299,132,86,,,,,,,,,,,,,,
2024-03-02 01:40:51,2024-03-03 03:30:07,UTC-08:00,89,58,95,32.50,96.78,5.8,1599,134,75,2024-03-02 01:40:51,2024-03-02 10:29:35,100,12.3,489,528,169,142,178,39,479,13,93,71
2024-03-01 02:02:06,2024-03-02 01:40:51,UTC-08:00,50,60,69,34.15,95.00,8.0,1771,137,78,2024-03-01 02:02:06,2024-03-01 10:34:00,96,12.3,490,511,152,123,215,21,511,35,95,53
2024-02-28 23:57:44,2024-03-01 02:02:06,UTC-08:00,73,60,86,33.10,95.69,11.7,2250,141,78,2024-02-28 23:57:44,2024-02-29 08:31:05,90,13.0,467,511,258,81,128,44,522,39,91,42
2024-02-28 00:14:04,2024-02-28 23:57:44,UTC-08:00,49,59,70,33.60,96.35,12.9,2224,154,81,2024-02-28 00:14:04,2024-02-28 08:01:47,88,12.4,430,466,198,102,130,36,492,30,92,41
2024-02-27 02:55:47,2024-02-28 00:14:04,UTC-08:00,39,67,62,33.60,95.72,5.1,1500,122,75,2024-02-27 02:55:47,2024-02-27 11:48:21,91,13.1,497,532,269,114,114,35,545,122,93,52
2024-02-26 03:47:51,2024-02-27 02:55:47,UTC-08:00,46,60,85,32.50,95.40,11.0,1886,126,83,2024-02-26 03:47:51,2024-02-26 08:09:48,50,12.9,243,261,103,64,76,18,488,127,93,38
2024-02-25 09:01:38,2024-02-26 03:47:51,UTC-08:00,35,54,85,33.80,95.80,5.5,1353,125,71,2024-02-25 09:01:38,2024-02-25 12:32:38,43,12.1,196,210,76,43,77,14,461,0,95,32
2024-02-24 01:59:34,2024-02-25 09:01:38,UTC-08:00,88,57,100,32.70,95.38,4.3,2137,121,65,2024-02-24 01:59:34,2024-02-24 11:39:15,100,12.8,555,579,348,80,127,24,514,46,95,75
2024-02-23 03:53:39,2024-02-24 01:59:34,UTC-08:00,74,59,87,33.53,93.41,8.8,1697,132,76,2024-02-23 03:53:39,2024-02-23 11:29:48,82,12.3,425,456,136,81,208,31,519,36,93,66
2024-02-22 02:54:23,2024-02-23 03:53:39,UTC-08:00,78,57,89,33.52,96.22,12.9,2340,154,79,2024-02-22 02:54:23,2024-02-22 10:01:16,84,12.6,392,426,191,65,136,34,466,86,92,69
2024-02-21 02:36:24,2024-02-22 02:54:23,UTC-08:00,61,58,77,33.50,95.50,12.3,2195,143,78,2024-02-21 02:36:24,2024-02-21 08:10:56,63,12.2,295,334,117,67,111,39,467,1,88,61
2024-02-20 02:30:27,2024-02-21 02:36:24,UTC-08:00,93,56,99,33.00,97.20,8.4,1817,137,76,2024-02-20 02:30:27,2024-02-20 11:05:14,100,13.2,462,509,185,111,166,47,465,0,91,57
2024-02-18 22:15:52,2024-02-20 02:30:27,UTC-08:00,90,60,95,33.20,96.27,7.6,2100,134,71,2024-02-18 22:15:52,2024-02-19 12:31:28,100,13.4,729,855,451,129,149,126,465,0,85,37
2024-02-18 03:46:31,2024-02-18 22:15:52,UTC-08:00,59,62,74,34.34,97.38,7.6,1454,136,73,2024-02-18 03:46:31,2024-02-18 13:20:41,100,12.6,539,572,166,136,237,33,342,0,95,39
2024-02-17 01:29:47,2024-02-18 03:46:31,UTC-08:00,40,68,58,32.90,95.88,4.7,1838,124,71,2024-02-17 01:29:47,2024-02-17 11:48:53,100,13.5,558,619,306,89,163,61,483,19,91,80
2024-02-16 01:39:46,2024-02-17 01:29:47,UTC-08:00,10,78,44,34.60,95.12,7.1,1736,123,84,2024-02-16 01:39:46,2024-02-16 10:31:22,94,15.6,454,531,284,72,98,77,484,13,85,82
2024-02-15 02:15:58,2024-02-16 01:39:46,UTC-08:00,53,64,78,34.40,95.40,10.1,1868,152,80,2024-02-15 02:15:58,2024-02-15 11:05:33,96,13.4,468,529,208,119,141,61,489,24,88,80
2024-02-14 02:28:03,2024-02-15 02:15:58,UTC-08:00,96,60,97,33.30,96.00,7.6,1487,149,70,2024-02-14 02:28:03,2024-02-14 10:57:23,92,13.5,467,504,299,79,89,37,505,42,94,69
2024-02-13 03:41:20,2024-02-14 02:28:03,UTC-08:00,92,55,93,34.00,96.67,6.5,1672,146,74,2024-02-13 03:41:20,2024-02-13 11:03:27,83,12.9,424,438,190,86,148,14,509,47,96,70
2024-02-12 03:19:12,2024-02-13 03:41:20,UTC-08:00,87,57,90,33.50,96.67,5.5,1729,129,71,2024-02-12 03:19:12,2024-02-12 11:51:34,80,13.1,369,512,231,70,68,143,464,1,72,55
2024-02-11 04:39:18,2024-02-12 03:19:12,UTC-08:00,98,54,100,34.00,96.54,5.8,1634,135,70,2024-02-11 04:39:18,2024-02-11 13:02:04,99,12.5,460,500,219,104,137,40,462,0,93,34
2024-02-10 04:10:21,2024-02-11 04:39:18,UTC-08:00,96,59,87,33.60,95.88,6.1,1799,152,70,2024-02-10 04:10:21,2024-02-10 10:57:29,100,13.4,352,407,188,75,89,55,274,0,89,
2024-02-09 02:43:34,2024-02-10 04:10:21,UTC-08:00,13,60,61,34.10,94.67,4.6,1687,136,75,2024-02-09 02:43:34,2024-02-09 08:00:21,24,12.8,110,131,65,24,21,21,461,0,83,33
2024-02-08 04:00:26,2024-02-09 02:43:34,UTC-08:00,12,55,71,32.70,95.33,4.2,1321,125,69,2024-02-08 04:00:26,2024-02-08 11:29:34,20,12.5,90,96,32,34,24,6,461,0,95,23
2024-02-07 01:31:10,2024-02-08 04:00:26,UTC-08:00,8,63,66,34.70,95.83,4.0,1625,118,73,2024-02-07 01:31:10,2024-02-07 08:00:57,37,15.6,171,205,78,54,39,34,461,0,90,55
2024-02-06 00:34:11,2024-02-07 01:31:10,UTC-08:00,36,70,59,34.70,93.33,5.2,1767,145,79,2024-02-06 00:34:11,2024-02-06 09:59:44,100,17.2,519,565,351,99,69,46,468,96,91,48
2024-02-05 02:12:48,2024-02-06 00:34:11,UTC-08:00,6,79,51,36.00,96.42,9.5,1594,157,94,2024-02-05 02:12:48,2024-02-05 07:57:54,58,18.9,268,345,207,10,51,77,461,0,80,46
2024-02-04 04:54:24,2024-02-05 02:12:48,UTC-08:00,95,59,91,34.00,97.00,4.6,1487,128,70,2024-02-04 04:54:24,2024-02-04 12:27:59,100,13.8,415,450,130,119,166,35,319,8,92,23
2024-02-03 01:51:12,2024-02-04 04:54:24,UTC-08:00,97,56,98,33.80,96.92,8.6,2113,157,68,2024-02-03 01:51:12,2024-02-03 10:31:17,97,13.0,484,517,259,105,120,33,497,35,94,53
2024-02-02 01:24:11,2024-02-03 01:51:12,UTC-08:00,94,61,79,33.80,95.72,4.5,1693,129,75,2024-02-02 01:24:11,2024-02-02 10:04:05,89,12.9,473,516,188,112,173,43,528,67,91,46
2024-02-01 01:10:08,2024-02-02 01:24:11,UTC-08:00,55,66,61,34.30,97.85,4.5,1625,124,81,2024-02-01 01:10:08,2024-02-01 06:59:35,75,13.4,317,349,173,56,88,32,422,37,91,49
2024-01-30 23:50:38,2024-02-01 01:10:08,UTC-08:00,51,65,62,34.68,97.63,4.4,1516,138,80,2024-01-30 23:50:38,2024-01-31 07:00:39,55,13.0,274,306,157,50,67,32,501,37,90,36
2024-01-29 23:55:39,2024-01-30 23:50:38,UTC-08:00,36,70,47,34.00,95.36,6.9,1759,139,84,2024-01-29 23:55:39,2024-01-30 06:44:32,86,12.9,359,408,206,61,92,49,417,127,89,37
2024-01-29 02:11:38,2024-01-29 23:55:39,UTC-08:00,51,64,67,34.65,97.50,9.3,1733,129,85,2024-01-29 02:11:38,2024-01-29 07:00:04,47,13.2,255,288,131,53,71,33,538,77,90,37
