Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2024-03-30 00:50:43,2024-03-31 02:24:35,UTC-07:00,2024-03-30 00:50:43,2024-03-30 11:16:04,100,13.1,579,625,337,113,129,46,462,0,92,79,false
2024-03-29 00:58:31,2024-03-30 00:50:43,UTC-07:00,2024-03-29 00:58:31,2024-03-29 10:44:56,100,12.3,529,586,226,128,175,57,482,11,90,75,false
2024-03-28 01:57:12,2024-03-29 00:58:31,UTC-07:00,2024-03-28 01:57:12,2024-03-28 10:15:38,96,12.0,459,492,129,127,203,33,478,13,93,73,false
2024-03-26 23:54:36,2024-03-28 01:57:12,UTC-07:00,2024-03-26 23:54:36,2024-03-27 08:47:39,96,12.4,481,533,180,127,174,52,502,42,90,67,false
2024-03-26 01:23:02,2024-03-26 23:54:36,UTC-07:00,2024-03-26 01:23:02,2024-03-26 09:58:18,88,12.7,481,515,190,125,166,34,548,84,94,78,false
2024-03-25 02:00:50,2024-03-26 01:23:02,UTC-07:00,2024-03-25 02:00:50,2024-03-25 08:09:59,66,12.4,334,369,161,75,98,35,502,38,90,79,false
2024-03-24 02:32:29,2024-03-25 02:00:50,UTC-07:00,2024-03-24 02:32:29,2024-03-24 11:02:28,89,12.8,464,509,192,101,171,45,524,44,92,74,false
2024-03-23 01:14:56,2024-03-24 02:32:29,UTC-07:00,2024-03-23 01:14:56,2024-03-23 09:58:51,87,12.7,476,523,289,112,75,47,545,50,92,84,false
2024-03-22 01:42:36,2024-03-23 01:14:56,UTC-07:00,2024-03-22 01:42:36,2024-03-22 09:36:24,81,12.4,431,473,196,117,118,42,532,54,91,79,false
2024-03-21 01:40:59,2024-03-22 01:42:36,UTC-07:00,2024-03-21 01:40:59,2024-03-21 10:12:24,81,12.4,456,511,168,125,163,55,564,51,90,71,false
2024-03-20 01:53:55,2024-03-21 01:40:59,UTC-07:00,2024-03-20 01:53:55,2024-03-20 08:29:30,78,12.4,363,395,155,117,91,32,466,0,93,68,false
2024-03-18 23:46:43,2024-03-20 01:53:55,UTC-07:00,2024-03-18 23:46:43,2024-03-19 11:06:00,100,13.1,610,663,337,116,157,53,514,28,93,64,false
2024-03-18 00:37:17,2024-03-18 23:46:43,UTC-07:00,2024-03-18 00:37:17,2024-03-18 08:05:07,88,13.9,407,447,214,86,107,40,464,0,91,70,false
2024-03-17 01:36:20,2024-03-18 00:37:17,UTC-07:00,2024-03-17 01:36:20,2024-03-17 10:58:13,100,12.9,516,561,236,111,169,45,511,43,92,76,false
2024-03-16 01:27:09,2024-03-17 01:36:20,UTC-07:00,2024-03-16 01:27:09,2024-03-16 09:43:12,87,13.4,441,496,213,85,143,55,509,47,89,63,false
2024-03-15 03:58:02,2024-03-16 01:27:09,UTC-07:00,2024-03-15 03:58:02,2024-03-15 11:26:30,82,11.3,422,448,300,52,70,26,516,36,94,48,false
2024-03-14 02:05:57,2024-03-15 03:58:02,UTC-07:00,2024-03-14 02:05:57,2024-03-14 09:54:07,86,12.0,450,468,147,129,174,18,523,55,96,66,false
2024-03-13 01:39:30,2024-03-14 02:05:57,UTC-07:00,2024-03-13 01:39:30,2024-03-13 08:03:04,77,12.1,359,379,170,74,115,20,470,0,94,66,false
